id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43994,-2.59173,Private room,42,3,178,2022-09-10,1.64,5,1,18,
117122,City Centre-Waterside Retreat,591555,Marcus,,Clifton,51.45051,-2.61054,Private room,96,1,166,2022-08-14,1.22,1,324,15,
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Bedminster,51.44101,-2.60121,Private room,32,5,39,2020-08-28,0.33,1,41,0,
307634,"'The Sunset Room' Peaceful, Clear Home",1582810,Wendy,,Easton,51.46641,-2.55533,Private room,36,5,30,2022-08-14,0.46,2,155,9,
341227,Listed Georgian house in the heart of Bristol.,237360,Samantha,,Ashley,51.46661,-2.58709,Entire home/apt,571,2,108,2022-06-19,0.85,1,357,16,
390781,"Cosy large room nr TV studios, Paintworks & stores",1954565,Fiona,,Brislington West,51.44429,-2.55777,Private room,35,2,50,2022-09-03,0.39,2,0,9,
392215,"home from home, large double, light",1961385,Bea,,Brislington East,51.44177,-2.53744,Private room,19,90,25,2019-12-08,0.20,2,140,0,
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,80,2,91,2022-08-30,0.73,1,17,18,
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,,Ashley,51.46941,-2.58166,Entire home/apt,93,2,306,2022-08-20,2.42,1,335,42,
421205,Your Bristol weekend hideaway,2094659,Lis,,Ashley,51.46547,-2.58458,Private room,35,1,185,2022-08-22,1.49,1,329,18,
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.47331,-2.60598,Entire home/apt,205,2,386,2022-09-18,3.05,2,311,39,
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,,Lawrence Hill,51.45591,-2.57803,Private room,69,1,225,2022-07-28,1.81,1,22,35,
753655,Edwardian house in central Bristol,3647954,Cath,,Southville,51.44553,-2.60413,Private room,63,2,288,2022-09-11,2.43,3,319,17,
758894,"Clifton Village, superfast internet, car permits",3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,124,3,440,2022-09-15,3.67,1,318,30,
832235,Luxury Double En Suite Bedroom,4356624,Claire,,Southville,51.44201,-2.61939,Private room,68,1,98,2022-09-05,1.09,1,281,3,
868888,Large double room with breakfast,4577089,Rohan,,Eastville,51.47305,-2.54617,Private room,30,7,9,2020-03-01,0.16,2,294,0,
870076,Cosy Single Bedroom in Southville,3647954,Cath,,Southville,51.44593,-2.60309,Private room,46,1,160,2022-01-16,1.37,3,244,1,
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,,Redland,51.47513,-2.60474,Entire home/apt,145,2,312,2022-09-18,2.78,2,312,45,
975170,Double room in quiet LGBTQIA+ friendly home,5332833,Ashley,,Eastville,51.48256,-2.5546,Private room,32,3,99,2022-04-02,0.86,2,0,1,
995235,Clifton Towers Bristol B and B,5466703,Marie,,Clifton,51.45308,-2.61544,Private room,60,1,348,2022-09-10,3.22,1,272,48,
1033484,Tranquil Room near City Centre,5687726,Joanne,,Ashley,51.46307,-2.57982,Private room,39,2,347,2022-08-19,3.02,2,53,31,
1096853,"Lovely quiet, clean, Double Bed+Single, with tv",487598,Maggie,,Easton,51.46907,-2.56077,Private room,42,2,484,2022-09-01,4.27,3,0,60,
1096947,"Lovely quiet, clean, cosy room, Double Bed, tv",487598,Maggie,,Easton,51.46821,-2.56019,Private room,40,2,416,2022-09-05,3.68,3,0,35,
1166104,Private room in ‘Garden Square' Georgian townhouse,6386989,Anne + Iain,,Clifton,51.45169,-2.62087,Private room,35,7,78,2022-08-27,0.69,2,154,6,
1180148,"Beautiful big, quiet room w/ luxe bed + desk",6456324,Gavin,,Knowle,51.43859,-2.56536,Private room,52,2,30,2022-07-31,0.26,2,326,8,
1182074,"Twin/Super King size bed, Shirehampton, Bristol",6466360,Rebecca,,Avonmouth & Lawrence Weston,51.48503,-2.67242,Private room,31,1,21,2022-09-18,0.64,2,303,4,
1260621,Quiet Double With Ensuite In An Old Jeweller Shop,6865698,Kirsty,,Ashley,51.46465,-2.58947,Private room,40,5,248,2022-09-05,2.32,3,8,28,
1329265,"Excellent central location, perfect for visitors",7144675,Stephanie,,Lawrence Hill,51.45952,-2.57379,Private room,42,3,219,2022-09-09,1.97,1,111,15,
1337681,Stylish Family Home in Amazing Location,7254449,Tamsin,,Stoke Bishop,51.47366,-2.63905,Entire home/apt,600,7,19,2022-08-22,0.17,1,268,2,
1457693,Cosy single room with breakfast,4577089,Rohan,,Eastville,51.47371,-2.54602,Private room,25,20,15,2020-11-15,0.14,2,264,0,
1524396,Woodburner - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43993,-2.59185,Private room,40,1,157,2022-08-26,1.43,5,0,11,
1536968,Blanket Box - Sarah's large Room,360195,Sarah,,Windmill Hill,51.44049,-2.5922,Private room,40,2,112,2022-06-19,1.29,5,0,4,
1623879,Homestay - Single Room in Bristol,8635028,John,,Henbury & Brentry,51.51255,-2.60012,Private room,24,3,175,2022-09-17,1.60,1,328,31,
